aae_text,sae_text,aae_context,aae_continuation,sae_context,sae_continuation
""" Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out.""","No, I wanted to, but there were too many people around so I had to tough it out.",""" Nahh , I Wanted To . . . But Too Many People Were","Around So I Had To Thug It Out . ""","No , I wanted to , but there were too many people around so I had",to tough it out .
Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.,Anyone who knows me should know that I am one of the nicest people you will ever meet... unless I do not like you.,Anybody Who Knows Me Should Know That I ' m One Of The,Nicest People You ' ll Ever Meet . . . . . . . . . . . . . . . . Unless I Don ' t Like You .,Anyone who knows me should know that I am one of the nicest people you will ever meet . . . unless I do,not like you .
I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.,"I want to let you know how I really feel, but my pride won't let me.",I Wanna Let You Know How I REALLY Feel,; But My Pride Won ' t Let Me .,"I want to let you know how I really feel , but my pride",won ' t let me .
""" : Price Tag On yo Head , Leave you laying where ya stand ! """,""": There’s a price on your head; I’ll leave you lying where you stand!""",""" : Price Tag On","yo Head , Leave you laying where ya stand ! """,""" : There ’ s","a price on your head ; I ’ ll leave you lying where you stand ! """
: When I Tell You I Love You That Shit Be True To Me !,": When I tell you I love you, I truly mean it!",: When I Tell You I Love You That Shit Be,True To Me !,": When I tell you I love you ,",I truly mean it !
Beef is wen you make mistakes less burgers wit your niggas more steak with snakes,"Beef is when you make mistakes—fewer burgers with your friends, more steak with snakes.",Beef is wen you make mistakes,less burgers wit your niggas more steak with snakes,Beef is when you make mistakes — fewer burgers,"with your friends , more steak with snakes ."
I think we can all agree that the real winner in this Te'o fiasco is Catfish,I think we can all agree that the real winner in this Te'o fiasco is Catfish.,I think we can all,agree that the real winner in this Te ' o fiasco is Catfish,I think we can all,agree that the real winner in this Te ' o fiasco is Catfish .
I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight,I probably didn’t put much of Mrs. Myra’s BBQ sauce on my chicken tonight.,I probably didn ' t put a lot of mrs Myra,' s BBQ sauce on my chicken tonight,I probably didn ’ t put much of Mrs . Myra,’ s BBQ sauce on my chicken tonight .
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late,Don’t feel bad about this loss. This is what State is supposed to do. I’m glad to see some fight in the Heels at the end.,Don ' t feel bad about,this loss . This is what state is supposed to do . Glad to see some fight in the heels late,Don ’ t feel bad about this loss . This is what State is supposed to do . I ’ m glad to see some fight in the Heels,at the end .
Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week,"Aww, that's true. I’m going to be there all week next week! Even though their silly selves suspended me, lol, I’m going to behave next week.",Aweee True Imma Be There All,Week Next Week ! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week,"Aww , that ' s true",". I ’ m going to be there all week next week ! Even though their silly selves suspended me , lol , I ’ m going to behave next week ."
i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done,I'm going somewhere at 12. I'll have Chyna come get you when I'm done.,i ' m goin somewhere @,12 Imma get chyna to come get you when I ' m done,I ' m going somewhere at 12 . I ' ll have Chyna come get you when,I ' m done .
I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye,"I don’t have a message unless you’re talking about on MeetMe, but I don’t care, fuck you, go back to that bitch, bye.",I dny hav a msg unless u tlkn bout on meet me,bt idc fuck u go bk ta dat btc bye,I don ’ t have,"a message unless you ’ re talking about on MeetMe , but I don ’ t care , fuck you , go back to that bitch , bye ."
The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work,"The world is yours, young man. What are you going to do with it? Watch it, make it work.",The World Iz Urz Young Nigga What U Gonna,Do Wit It Watch It Make It Work,"The world is yours ,","young man . What are you going to do with it ? Watch it , make it work ."
I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe,"I mess with Alley Lano, man. East Baltimore, Latrobe. But that's not all of our projects though.",I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint,All Our Projects Thoe,"I mess with Alley Lano , man . East Baltimore , Latrobe .",But that ' s not all of our projects though .
Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City,"Rappers talk about trapping but have never seen a hundred million. If your Audemars isn’t a hundred (thousand), then your stuff isn’t real. Be gone, bitch. (In Meek Mill’s voice.) Baltimore City.",Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch,whoop meek Voice Ball2More City,"Rappers talk about trapping but have never seen a hundred million . If your Audemars isn ’ t a hundred ( thousand ) , then your stuff isn ’ t real . Be gone , bitch . ( In Meek Mill ’ s voice .",) Baltimore City .
Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi,"I love Chicago. You all need to calm down with the violence and try to make things work—in Yo Gotti’s voice. That’s why I’m alone in Baltimore. Much love to everyone in Chicago, though.",Love Chi Town Yall,Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi,I love Chicago . You all need to calm down with the violence and try to make things work — in Yo Gotti ’ s voice . That ’ s why I ’ m alone in Baltimore . Much love to everyone,"in Chicago , though ."
Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets,"Hating isn’t going to get you anywhere, but in a box. Stay low and quiet—mob secrets.",Hatin AintN Gon Get,U Now Were But NA Box Stay Lo Shushh Mob Secrets,Hating isn ’ t going to get you,"anywhere , but in a box . Stay low and quiet — mob secrets ."
U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life,"You aren’t lying, Ghost. This is amazing. Lion pride. I’m going to be listening to this for the rest of my life.",U Aint Lying Ghost Shit Killin,Me Lion Pride Im listenind 2Dis 4Da Rest of Life,"You aren ’ t lying , Ghost .",This is amazing . Lion pride . I ’ m going to be listening to this for the rest of my life .
If yu my nigga u my nigga then.! I shole dont need no new friend nigga where uu been nigga,"If you’re my friend, you’re my friend then! I definitely don’t need any new friends—where have you been?",If yu my nigga u my nigga then . ! I shole dont need no new friend nigga,where uu been nigga,"If you ’ re my friend , you ’ re my friend then ! I definitely don ’ t need any new friends —",where have you been ?
HEARD HE FUCKED DA SHYT OUTTA HA O'WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS,"I heard he had sex with her. Oh well, I don't care. She's not my girlfriend. I can't stand her.",HEARD HE FUCKED DA,SHYT OUTTA HA O ' WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS,I heard he had,"sex with her . Oh well , I don ' t care . She ' s not my girlfriend . I can ' t stand her ."
I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP,"I want to cuddle with a girl, but she’s at her grandma’s house, so I’m just going to go back to sleep.",I need to cuddle wit a girl she at ha gma crib BUT,FINNA GO BACK TO SLEEP,"I want to cuddle with a girl , but she ’ s at her grandma ’ s","house , so I ’ m just going to go back to sleep ."
OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L'S FUCK CESS,"I go hard for my squad. Squad! Alright! 039 stuff. Forget the opposition, forget Lawless and them, forget those guys. Take losses. Forget Cess.",OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L,' S FUCK CESS,I go hard for my,"squad . Squad ! Alright ! 039 stuff . Forget the opposition , forget Lawless and them , forget those guys . Take losses . Forget Cess ."
cause I kno iima be up all nitw e but inna mornin ima be real sleepy,"because I know I’m going to be up all night, but in the morning I’m going to be really sleepy.",cause I kno iima,be up all nitw e but inna mornin ima be real sleepy,because I know I ’,"m going to be up all night , but in the morning I ’ m going to be really sleepy ."
RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT GOT SHYT ELSE TO SAY,"Ragene, stop tweeting at me. You're just upset because I don't want you. I've moved on. Goodbye. Stop talking to me—we have nothing else to discuss.",RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT,GOT SHYT ELSE TO SAY,"Ragene , stop tweeting at me . You ' re just upset because I don ' t want you . I ' ve moved on . Goodbye . Stop talking to me — we have nothing",else to discuss .
LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real,"LOL, I don't want her to wear any panties tomorrow when she comes over, for real.",LOL ion wnt ha to wea noo panties 2ma wen she,cum ova onna real,"LOL , I don ' t want her to wear any panties tomorrow when she comes over",", for real ."
""": Ion Trust People .. I Think ANYBODY ah Set Me Up ! TRUU SHYT #TRUSTNONE""",""": I don't trust people. I think anybody could set me up! True stuff. #TRUSTNONE""",""" : Ion Trust People . . I Think ANYBODY ah Set Me","Up ! TRUU SHYT # TRUSTNONE """,""" : I don ' t","trust people . I think anybody could set me up ! True stuff . # TRUSTNONE """
Folks Dont Know What Keeping They Word Is Anymore That's Why My Trust Fucked! But I'll Die To Keep My Word..,People don’t know what it means to keep their word anymore. That’s why my trust is messed up! But I would die to keep my word.,Folks Dont Know What,Keeping They Word Is Anymore That ' s Why My Trust Fucked ! But I ' ll Die To Keep My Word . .,People don ’ t,know what it means to keep their word anymore . That ’ s why my trust is messed up ! But I would die to keep my word .
Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO,"Some people expect women to perform oral sex or do even more, I suppose. In that case, I guess I'll never go on a date. LMAO",Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess . . In That Case,I ' ll Never Go On A Date LMMFAO,"Some people expect women to perform oral sex or do even more , I suppose . In that case , I guess I ' ll never",go on a date . LMAO
Ask me to come see you at a game and don't even fuckin talk to me #wtf,Ask me to come see you at a game and then you don’t even talk to me. #wtf,Ask me to come see you at a game and don ' t even fuckin talk,to me # wtf,Ask me to come see you at a game and then you don ’ t even talk,to me . # wtf
I luhv bad bytches dats my fkkn problem n yea i like to fkk i gotta fkkn problem,"I love attractive women, that’s my problem, and yes, I like to have sex—I have a serious problem.",I luhv bad bytches,dats my fkkn problem n yea i like to fkk i gotta fkkn problem,"I love attractive women , that ’ s my problem , and yes , I like to have sex — I have",a serious problem .
Aww the head manager for West Orange BK called me and thanked me for working there... && said he want me to work there in the summer ..,"Aww, the head manager of West Orange Burger King called me and thanked me for working there, and said he wants me to work there in the summer.",Aww the head manager for West Orange BK called me and thanked me for working there . . . & & said he want me to work there,in the summer . .,"Aww , the head manager of West Orange Burger King called me and thanked me for working there , and said he wants me to work there",in the summer .
mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol,"Mmm hmm, that's what it sounds like to me. My baby's godmother can't be into that, lol.",mmm hmmmm datz wat it sound like ta me . . my bby,godmama kant be into dat lol,"Mmm hmm , that ' s what it sounds like to me . My baby ' s godmother","can ' t be into that , lol ."
i was thinking about going down to the mall on Monday since I'm off....idk tho,I was thinking about going to the mall on Monday since I have the day off... I’m not sure though.,i was thinking about going down to the mall on Monday since I ' m off .,. . . idk tho,I was thinking about going to the mall on Monday since I have the day off .,. . I ’ m not sure though .
i know it do..i remember the last time i went..i constantly fell down..i thought i was gonna break my ankle in the process lol,"I know it does. I remember the last time I went—I kept falling down. I thought I was going to break my ankle in the process, lol.",i know it do . . i remember the last time i went . . i constantly fell down . . i thought i was gonna break my ankle,in the process lol,I know it does . I remember the last time I went — I kept falling down . I thought I was going to break my ankle in the,"process , lol ."
you see they pot him in conf. championship gamer and he made to big catches,Did you see they put him in the conference championship game and he made two big catches?,you see they pot,him in conf . championship gamer and he made to big catches,Did you see they put,him in the conference championship game and he made two big catches ?
Thank you Lord for waking me up this morning ...please give me the strength cuz these ppl irking my nerves,"Thank you, Lord, for waking me up this morning. Please give me the strength because these people are getting on my nerves.",Thank you Lord for waking me up this morning . . . please give me the strength,cuz these ppl irking my nerves,"Thank you , Lord , for waking me up this morning . Please give me the strength because",these people are getting on my nerves .
I wonder how many males can lay with a female all night and not hit,I wonder how many men can lie next to a woman all night and not have sex with her.,I wonder how many,males can lay with a female all night and not hit,I wonder how many,men can lie next to a woman all night and not have sex with her .
You know the sex is good when it always feels like the first time again.,You know the sex is good when it always feels like the first time again.,You know the sex is good,when it always feels like the first time again .,You know the sex is good,when it always feels like the first time again .
I'm doing pretty good of not talking to my mom.... its been 2 days I think... HARDCORE,"I’m doing pretty well at not talking to my mom… it’s been two days, I think… HARDCORE.",I ' m doing pretty good of not talking to my mom . . . . its been 2 days,I think . . . HARDCORE,"I ’ m doing pretty well at not talking to my mom … it ’ s been two days ,",I think … HARDCORE .
Celtics lost to the Bulls now 20-19 on the season. Just take it one game at a time for number #oomf !!!,The Celtics lost to the Bulls and are now 20-19 for the season. Just take it one game at a time for number #oomf!,Celtics lost to the Bulls now 20 - 19 on the season . Just take it one game at a time,for number # oomf ! ! !,The Celtics lost to the Bulls and are now 20 - 19 for the season . Just take it one game at a time,for number # oomf !
Chief Keef Is 17 Years Old. His Baby Mama Is In The 8th Grade. & He Is Currently In Juvi For Violating Probation. This Is Yalls Role Model?,"Chief Keef is 17 years old. His child's mother is in the 8th grade, and he is currently in juvenile detention for violating probation. This is your role model?",Chief Keef Is 17 Years Old . His Baby Mama Is In The 8th Grade . & He Is Currently In Juvi For Violating Probation . This Is,Yalls Role Model ?,"Chief Keef is 17 years old . His child ' s mother is in the 8th grade , and he is currently in juvenile detention for violating probation . This",is your role model ?
Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.,"Future is like the new T-Pain. He sounds good singing the chorus, but I’m not so sure about him on the entire song.",Future is the new,T - Pain . He sounds good doing the chorus but not so sure about the whole song .,Future is like the new,"T - Pain . He sounds good singing the chorus , but I ’ m not so sure about him on the entire song ."
I have so much to do today but my first priority this morning was to spend time with my lil mama.,"I have so much to do today, but my first priority this morning was to spend time with my little girl.",I have so much,to do today but my first priority this morning was to spend time with my lil mama .,I have so much,"to do today , but my first priority this morning was to spend time with my little girl ."
"""Lol just called my babe to tell him that ima go to the army, we're gonna get married and be together forever""","Lol, I just called my boyfriend to tell him that I’m going to join the army. We’re going to get married and be together forever.",""" Lol just called","my babe to tell him that ima go to the army , we ' re gonna get married and be together forever ""","Lol , I just called",my boyfriend to tell him that I ’ m going to join the army . We ’ re going to get married and be together forever .
"""Think ima go get my hair braided! I'm taking one weekend off, just me and him""","I think I’m going to get my hair braided! I’m taking one weekend off, just for me and him.",""" Think ima go get my hair braided ! I ' m taking one weekend off , just","me and him ""","I think I ’ m going to get my hair braided ! I ’ m taking one weekend off , just",for me and him .
Something's are meant not to be said && I was about to say something but I'm not,"Some things are not meant to be said, and I was about to say something, but I’m not going to.",Something ' s are meant not to be,said & & I was about to say something but I ' m not,"Some things are not meant to be said , and I was about to say something , but I ’",m not going to .
"""I know he see me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again""","I know he sees me tweeting this, and it’s the truth. If it weren’t for him, I wouldn’t love again.",""" I know he see me tweeting this , and it ' s the truth . If","it wasn ' t for him , I wouldn ' t love again ""","I know he sees me tweeting this , and it ’ s the truth . If it","weren ’ t for him , I wouldn ’ t love again ."
My aunt is looney tho... ion know why she thinking I'm pregnant!  I gotta go,My aunt is crazy though... I don't know why she thinks I'm pregnant! I have to go.,My aunt is looney tho . . . ion know why she thinking I ' m pregnant,! I gotta go,My aunt is crazy though . . . I don ' t know why she thinks I ' m pregnant ! I,have to go .
"""Wish I was with my babe. But overall,  o enjoy my day with the co-workers""","I wish I were with my significant other, but overall, I enjoyed my day with my coworkers.",""" Wish I was with my babe . But overall , o enjoy my day with","the co - workers """,I wish I were,"with my significant other , but overall , I enjoyed my day with my coworkers ."
"""Me and your son has something special going on .. Don't try to fuck it up, or get fucked""","Your son and I have something special going on. Don’t try to ruin it, or there will be consequences.",""" Me and your son has","something special going on . . Don ' t try to fuck it up , or get fucked """,Your son and I have,"something special going on . Don ’ t try to ruin it , or there will be consequences ."
yes yes.... But now that I work I get my own. Ima have a couple of kids do he can spoil em,"Yes, yes... But now that I work, I get my own. I'm going to have a couple of kids so he can spoil them.",yes yes . . . . But now that,I work I get my own . Ima have a couple of kids do he can spoil em,"Yes , yes . . . But now that I work , I get",my own . I ' m going to have a couple of kids so he can spoil them .
It seems like Everybody child calling me aunt Kisha or they thinking I'm their big sister who don't gives two fucks about em lol,"It seems like every child is calling me Aunt Kisha or thinks I’m their big sister who doesn’t care about them at all, lol.",It seems like Everybody child calling me aunt Kisha or they thinking I ' m their big sister who don ' t gives,two fucks about em lol,It seems like every child is calling me Aunt Kisha or thinks I ’ m their big sister who doesn ’ t care about them at,"all , lol ."
"""I'm not rushing it, I'm just ready to get that shit outta the way ...""","""I'm not rushing it, I'm just ready to get that stuff out of the way ...""",""" I ' m not rushing it , I ' m just ready to get that shit outta the","way . . . """,""" I ' m not rushing it , I ' m just ready to get that stuff out of the","way . . . """
"""Don't nobody like drama but his pussy ass... It's all good, I only have a couple of months left""","No one likes drama except for him... It's all good, I only have a couple of months left.",""" Don ' t nobody like drama but his pussy ass . . . It ' s","all good , I only have a couple of months left """,No one likes drama except for him . . . It ' s,"all good , I only have a couple of months left ."
""" Hoes Please Don't Tagg Me Now , Yoo Wasn't A Few Seconds Ago , Got Niggas Fighting Yoo Battles You Still The Same Scary Ass Bitch""",""" Please don’t tag me now. You weren’t a few seconds ago. You have guys fighting your battles, but you’re still the same cowardly person.""",""" Hoes Please Don '","t Tagg Me Now , Yoo Wasn ' t A Few Seconds Ago , Got Niggas Fighting Yoo Battles You Still The Same Scary Ass Bitch """,""" Please don ’ t tag","me now . You weren ’ t a few seconds ago . You have guys fighting your battles , but you ’ re still the same cowardly person . """
I like him too much to stop buht I LOVE him way too much to keep goin I think I kno wat I gotta do,"I like him too much to stop, but I love him way too much to keep going. I think I know what I have to do.",I like him too,much to stop buht I LOVE him way too much to keep goin I think I kno wat I gotta do,I like him too,"much to stop , but I love him way too much to keep going . I think I know what I have to do ."
Bitches still mad Rihanna went back to Chris Brown.. Like y'all don't keep taking back the same Bum Nigga every 2 weeks!,"Women are still upset that Rihanna got back together with Chris Brown, as if you all don’t keep taking back the same unreliable guy every two weeks!",Bitches still mad Rihanna went back to Chris Brown . . Like y ' all don ' t keep taking back the same Bum Nigga,every 2 weeks !,"Women are still upset that Rihanna got back together with Chris Brown , as if you all don ’ t keep taking back the same unreliable guy",every two weeks !
TWITTER : GET'S #HORNY AROUND 3&4 IT'S LIKE A #HOTLINE BUT ONLY ON YAH (((( TL))))),"TWITTER: Gets #horny around 3 and 4. It’s like a #hotline, but only on your timeline.",TWITTER : GET ' S # HORNY AROUND 3 & 4 IT ' S LIKE A # HOTLINE BUT ONLY ON YAH ( ( ( ( TL,) ) ) ) ),"TWITTER : Gets # horny around 3 and 4 . It ’ s like a # hotline , but",only on your timeline .
I understand dat don't write me a SA lmao but if u invited her u paying!  did this happen to u?,"I understand that, don’t write me a statement lol, but if you invited her, you’re paying! Did this happen to you?",I understand dat don ' t write me a SA lmao but,if u invited her u paying ! did this happen to u ?,"I understand that , don ’ t write me a statement lol , but if you","invited her , you ’ re paying ! Did this happen to you ?"
""" OMG my sister  lol this girl man!  I love being around her she makes me Happy which is rare! She's a keeper""",""" Oh my gosh, my sister. Haha, this girl! I love being around her; she makes me happy, which is rare! She's a keeper.""",""" OMG my sister lol this girl man ! I love being around her she makes me Happy which is rare ! She '","s a keeper """,""" Oh my gosh ,","my sister . Haha , this girl ! I love being around her ; she makes me happy , which is rare ! She ' s a keeper . """
"""You changed my whole liiiffffeee don't know what u doin to me with your love, I'm feeling all super human you did this to me!""","""You changed my whole life. I don’t know what you’re doing to me with your love. I’m feeling completely superhuman—you did this to me!""",""" You changed my whole liiiffffeee don ' t know what u doin to me with your love , I ' m feeling all super human you did this","to me ! """,""" You changed my whole life . I don ’ t know what you ’ re doing to me with your love . I ’ m feeling completely superhuman — you","did this to me ! """
i knw yu do hear em squeeze wat yu gne fuk nd suck him up t2,I know you do hear them. Squeeze—what are you going to do? Fuck and suck him up too?,i knw yu do hear em,squeeze wat yu gne fuk nd suck him up t2,I know you do hear them . Squeeze — what are,you going to do ? Fuck and suck him up too ?
"""Lhh, idk I told aaliyah you was just playing & she said oh well sabrina know now ,""","To be honest, I don’t know. I told Aaliyah you were just joking, and she said, “Oh well, Sabrina knows now.”",""" Lhh , idk I told aaliyah you was just playing & she said oh well sabrina","know now , ""","To be honest , I don ’ t know .","I told Aaliyah you were just joking , and she said , “ Oh well , Sabrina knows now . ”"
It's undeniable dat we should  b togetha unbelievable how I use to say I dat ill fall neva the basis is need 2 kno if u dont kno  how I feel,"It’s undeniable that we should be together. It’s unbelievable how I used to say that I would never fall. The point is, you need to know how I feel if you don’t already know.",It ' s undeniable,dat we should b togetha unbelievable how I use to say I dat ill fall neva the basis is need 2 kno if u dont kno how I feel,"It ’ s undeniable that we should be together . It ’ s unbelievable how I used to say that I would never fall . The point is , you need to know how I feel if you don",’ t already know .
damn I thought me and you were better than this I thought u liked me,"Damn, I thought you and I were better than this. I thought you liked me.",damn I thought me and you were,better than this I thought u liked me,"Damn , I thought",you and I were better than this . I thought you liked me .
You saying that's yo girl ain't saying shit like prank callers cause it's a small world and hoes make it even smaller.,"You saying that’s your girl doesn’t mean anything, like prank callers, because it’s a small world and unfaithful women make it even smaller.",You saying that ' s yo girl ain ' t saying shit like prank callers cause it ' s a small world and hoes,make it even smaller .,You saying that ’ s your,"girl doesn ’ t mean anything , like prank callers , because it ’ s a small world and unfaithful women make it even smaller ."
So wen they lose in the super bowl where ya dickeater gonna b at den ?,"So when they lose in the Super Bowl, where is your bandwagon fan going to be then?",So wen they lose in the super bowl where ya dickeater gonna,b at den ?,"So when they lose in the Super Bowl , where is your bandwagon fan going",to be then ?
yea im bout to slide to my aunt crib cause its my lil cousin bday but i b back,"Yeah, I'm about to go to my aunt's house because it's my little cousin's birthday, but I'll be back.",yea im bout to slide to,my aunt crib cause its my lil cousin bday but i b back,"Yeah , I ' m about to","go to my aunt ' s house because it ' s my little cousin ' s birthday , but I ' ll be back ."
God forgive me for the sins i did and the i will do in the future,"God, forgive me for the sins I have committed and the ones I will commit in the future.",God forgive me for the sins i did and the i,will do in the future,"God , forgive me for the sins I have committed and the ones I will commit",in the future .
Yo this bitch in schoil to bay tryed to grind me up .oh no she was a fuck duck lick no lay grind her the fuck up ctfu,"Hey, this girl at school today tried to insult me. Oh no, she was a joke, not worth my time—I really put her in her place. I'm cracking up.",Yo this bitch in schoil to bay tryed to grind me up . oh no she was a fuck duck lick no lay grind her,the fuck up ctfu,"Hey , this girl at school today tried to insult me . Oh no , she was a joke , not worth my time — I really put her in her place . I",' m cracking up .
"""Life is fair - made up of millions of moments - most of themrglorious.-Douglas Holzmeier""","""Life is fair—made up of millions of moments—most of them glorious. -Douglas Holzmeier""",""" Life is fair - made up of millions of moments - most of","themrglorious . - Douglas Holzmeier """,""" Life is fair — made up","of millions of moments — most of them glorious . - Douglas Holzmeier """
"""My room is not messy , it is an obstacle course designed to keep me fit .""",My room is not messy; it is an obstacle course designed to keep me fit.,""" My room is not messy , it is an obstacle","course designed to keep me fit . """,My room is not messy ; it is an obstacle,course designed to keep me fit .
Mfs kill me when they say im thick as FUCK come on now I ain't that thick,"People make me laugh when they say I'm really thick. Come on now, I'm not that thick.",Mfs kill me when,they say im thick as FUCK come on now I ain ' t that thick,People make me laugh when,"they say I ' m really thick . Come on now , I ' m not that thick ."
It ain't nothing like the first time im tryna tell u I can blow ya mind,"There’s nothing like the first time. I’m trying to tell you, I can blow your mind.",It ain ' t,nothing like the first time im tryna tell u I can blow ya mind,There ’ s nothing,"like the first time . I ’ m trying to tell you , I can blow your mind ."
I did u wrong u did me wrong ill take u back u take me back,"I did you wrong, you did me wrong. I'll take you back if you take me back.",I did u wrong u did me wrong ill,take u back u take me back,"I did you wrong , you did me wrong . I '",ll take you back if you take me back .
Lmao this fool bout to be 21 and got a 16 year old pregnant. #Maury,"Laughing out loud, this guy is about to turn 21 and got a 16-year-old pregnant. #Maury",Lmao this fool bout,to be 21 and got a 16 year old pregnant . # Maury,"Laughing out loud ,",this guy is about to turn 21 and got a 16 - year - old pregnant . # Maury
"""I Busted Josh Ass In 2K13 Today... With LeBron, He Fucked Me Up In Madden But I Destroyed Him On 2K' #SouthBeachIsKING""","I beat Josh in NBA 2K13 today with LeBron. He beat me badly in Madden, but I destroyed him in 2K. #SouthBeachIsKING",""" I Busted Josh Ass In 2K13 Today . . . With LeBron , He Fucked Me Up In Madden But I Destroyed Him On 2K","' # SouthBeachIsKING ""","I beat Josh in NBA 2K13 today with LeBron . He beat me badly in Madden , but I destroyed him in",2K . # SouthBeachIsKING
I Wonder If THE People Who Don't Deserve What I Want Go Thur What I Go Thur...,I wonder if the people who don’t deserve what I want go through what I go through...,I Wonder If THE,People Who Don ' t Deserve What I Want Go Thur What I Go Thur . . .,I wonder if the,people who don ’ t deserve what I want go through what I go through . . .
"""Letting  the one come to me. I'm not waiting for nobody at this point""",Letting the right person come to me. I'm not waiting for anyone at this point.,""" Letting the one come to me . I ' m not waiting for","nobody at this point """,Letting the right person come to me . I ' m not waiting for,anyone at this point .
he done the shit all of his career. Why stop now? It obviously worked out aiight for him,he’s done that his entire career. Why stop now? It obviously worked out alright for him.,he done the shit,all of his career . Why stop now ? It obviously worked out aiight for him,he ’ s done that his entire career . Why stop now ? It obviously,worked out alright for him .
yall mess with my big brutha imma have yall sleeping with the fishes !,"If you mess with my big brother, I'll have you sleeping with the fishes!",yall mess with my big brutha imma have yall sleeping,with the fishes !,"If you mess with my big brother , I ' ll have you sleeping",with the fishes !
i lowkey miss my State friends . get to see them next week so its cool !,"I kind of miss my State friends. I get to see them next week, so it’s all good!",i lowkey miss my State,friends . get to see them next week so its cool !,"I kind of miss my State friends . I get to see them next week , so it ’",s all good !
suppose to be having lunch with oomf but idk if imma wake up in time .,"I’m supposed to be having lunch with one of my friends, but I don’t know if I’ll wake up in time.",suppose to be having lunch with,oomf but idk if imma wake up in time .,"I ’ m supposed to be having lunch with one of my friends , but I don ’ t know if I ’ ll",wake up in time .
"""i spoke to  today . he looked at me like who df is youu? lol""","I spoke to  today. He looked at me like, ""Who the heck are you?"" lol",""" i spoke to today . he looked at me like","who df is youu ? lol """,I spoke to today . He,"looked at me like , "" Who the heck are you ? "" lol"
"""lmao ! hey LaQuanda , i got 4 people on hold but i can talk !""","LOL! Hey LaQuanda, I have four people on hold, but I can talk!",""" lmao ! hey LaQuanda , i got 4 people","on hold but i can talk ! ""","LOL ! Hey LaQuanda , I have four people","on hold , but I can talk !"
am i the only one that wanna relationship where we can fuck all night til things get right ? ijs,Am I the only one who wants a relationship where we can have sex all night until things feel right? Just saying.,am i the only one that wanna relationship where we can fuck all night til things,get right ? ijs,Am I the only,one who wants a relationship where we can have sex all night until things feel right ? Just saying .
why do i feel like this classroom is set up like some final destination type shit ? lol,Why do I feel like this classroom is set up like something out of Final Destination? Lol,why do i feel like this classroom is,set up like some final destination type shit ? lol,Why do I feel like this,classroom is set up like something out of Final Destination ? Lol
hot ass room + walking everywhere + no fast food = one FINE ass taylor :),Hot room + walking everywhere + no fast food = one very attractive Taylor :),hot ass room + walking everywhere + no fast food = one FINE,ass taylor : ),Hot room + walking everywhere + no fast food = one,very attractive Taylor : )
