sae_text,aae_text
""" Oh, okay... :) Congratulations on the win again. *thumbs down* But what was your jersey number, though?""","Oh, aight... :) Congrats on the win again. *thumbs down* But what yo jersey number was, tho?"
I like when women tell me to get sex elsewhere as if they won’t get mad...,I like when women tell me to go get sex somewhere else like they ain’t gon’ get mad...
"It was a really intense year last year, but it was a fun year overall.","Man, last year was real intense, but overall it was fun."
"I delete everything, not just the text messages—your number and all the pictures you sent me as well.","I delete everything, not just the texts—yo number and all the pictures you sent me too."
Stop talking trash and do something so I can beat you already.,Quit runnin’ ya mouth and do somethin’ so I can go ‘head and beat you already.
"I saw my ex tonight. Boy, oh boy, I didn’t say anything to him.","I seen my ex tonight. Lawd, I ain’t say nothin’ to him."
"Hahaha. Wow, nobody has turned on you—you just associate with people who aren’t your real friends. They were just talking about you, so...","Hahaha. Wow, ain’t nobody turned on you—you just be hangin’ with folks who ain’t really your friends. They was just talkin’ about you, so..."
People smile in your face but act completely fake as soon as you leave.,Folks be smilin’ in your face but actin’ real fake soon as you leave.
"I only have a couple of real friends, honestly. The rest are all really fake.","I only got a couple real friends, fr. The rest just be mad fake."
Who do Saadiq () and I have to fight now? Because I have been itching for a fight.,Who me and Saadiq () gotta fight now? ‘Cause I been itchin’ for a fight.
"Oh, well, is the problem with James over? Because I know Saadiq doesn’t like James anymore, so...","Oh, so the whole thing wit James done now? Cuz I know Saadiq don’t even mess wit James no more, so..."
I feel like I was set up. And she knew what she was doing. That wasn’t an accident. Shaking my head.,I feel like I got set up. And she knew exactly what she was doin’. That wasn’t no accident. Smh.
"My mom and dad are so loyal and supportive of me. I pray that I can be as good as they are when I have children. They support me like no one else. Thank you, Lord.","My mama and daddy so loyal and always got my back. I just pray I can be as good as they is when I got kids. Can’t nobody support me like they do. Thank you, Lord."
"Too many people know too many people, so I stay very low-key and quiet.","Too many folks know too many folks, so I just keep to myself and stay real low-key."
My pain is only expressed through anger. I haven't found any other way to cope with pain.,All my pain come out as anger. Ain’t found no other way to deal with it yet.
"My sister, mom, dad, and grandmother look out for me. They will do anything for me, literally. That’s family, that’s love.","My sister, mama, daddy, and grandma be lookin’ out for me. They’ll do anything for me, fr. That’s family, that’s love."
"She is only with you because you have a lot of money. You are a fool, because she does not want you.","She only wit you ‘cause you got a lotta money. You a fool, ‘cause she don’t even want you."
""": Never pursue anyone. A person who appreciates you will walk alongside you. Honestly.""",""": Don’t ever chase nobody. If somebody really value you, they gon’ walk right there wit you. For real."""
I have to go check on this job in the morning. I hope I get it.,Gotta go check on this job in the mornin’. Hope I get it.
"Lol, your grandma still lives around the corner. Don't make me get up and start something...","Lol, ya grandma still stay right 'round the corner. Don’t make me get up and start somethin’..."
I'm dead!! They didn't say anything at the game so don't worry about those fake girls!!!,I’m dead!! They ain’t say nothin at the game so don’t even worry bout them fake girls!!!
""": How can you love something you never had? Just some advice for these women.""",: How you gon’ love somethin’ you ain’t never had? Just some advice for these women.
A boyfriend and girlfriend are supposed to be laughing at these women together. A man should never let these women laugh at his girlfriend.,A boyfriend and his girl s’posed to be laughin’ at these women together. A man ain’t never s’posed to let these women laugh at his girl.
Andy Reid has gone to the Chiefs. I wonder where  is going or if he is staying with the #Eagles.,Andy Reid done went to the Chiefs. I wonder where  finna go or if he stayin’ wit the #Eagles.
I want to take a walk in the moonlight with you. Do you want to hold my hand?,I wanna take a walk in the moonlight wit you. You wanna hold my hand?
"In the game between both of my teams, the Seahawks won. It was a good game, though.","In the game wit both my teams, the Seahawks won. It was a good game, tho."
"I feel a certain way about that, but honestly, how I feel doesn’t matter either, shaking my head.","I feel some typa way bout that, but fr, how I feel don’t even matter either, smh."
"I might end up going back to SWIC if I don’t get accepted, though.","I might just go back to SWIC if I don’t get in, tho."
"""Maybe I should have let that conversation happen, because now I'm not going to do anything but sit here and think about it more, shaking my head.""","Maybe I shoulda just let that convo happen, ’cause now I ain’t gon’ do nothin’ but sit here thinkin’ ’bout it even more, smh."
"No sleep, shaking my head. This isn’t normal, but it isn’t affecting me yet, so oh well.","Ain’t get no sleep, smh. This ain’t normal, but it ain’t messin’ with me yet, so oh well."
#WhatIfIToldYou that you are the first thing I think of when I wake up and the last before I go to sleep,#WhatIfIToldYou you the first thing on my mind when I wake up and the last before I go to sleep
"My girlfriend is still with me because I treat her well, not just because I please her in bed lol.","My girl still wit me ’cause I treat her right, not just ’cause I put it down in the bedroom lol."
"2012 is gone, 2013 is here... Damn, I'm ready for 2014! Lol!","2012 gone, 2013 here... Damn, I’m ready for 2014! Lol!"
Now who in the world tweets like they’re taking an English class! . . . . . . . . . . Nobody tweets using correct sentences.,Now who out here tweetin’ like they in English class! . . . . . . . . . . Ain’t nobody tweetin’ usin’ proper sentences.
"Everyone is going to jail tonight, sheesh... There won’t be enough handcuffs for me to go then! *Pumps fist*","Errybody goin’ to jail tonight, sheesh... Ain’t even gon’ be enough handcuffs for me to roll through! *Pumps fist*"
I wish an overweight woman would. No profile picture needed... Shoot! You need something to explain how you ended up like that!,I wish a big girl would. Ain’t even gotta have no profile pic... Shoot! You gon’ need somethin’ to explain how you got like that!
How in the world are you going to make a Twitter account and then set your tweets to private?,How you gon make a Twitter and then got yo tweets on private?
"If you’re sleeping on me, I hope you toss and turn!","If you sleepin’ on me, I hope you can’t get no rest!"
"They say you don’t know what you’re doing until you stop doing it! Well, call me clueless because I do this!","They say you don’t even know what you doin’ til you stop doin’ it! Well, call me clueless ’cause I stays doin’ this!"
Walter is light-skinned; you can't expect him to have sex with you in the shower. He didn't want to get his hair wet.,Walter light-skinned; you know he ain’t ’bout to have sex wit you in the shower. He ain’t tryna get his hair wet.
Eric Spoelstra is very bold to bench Dwyane Wade and Chris Bosh for the entire fourth quarter.,Eric Spoelstra real bold for sittin’ Dwyane Wade and Chris Bosh the whole fourth quarter.
Nicki’s nose… Her pink lipstick. Her chapped pink lips. Her lace front… They are annoying me.,Nicki nose… That pink lipstick she got on. Her lips all chapped and pink. That lace front… They gettin on my nerves.
Cousin: Pink lemonade tastes like pink.  Me: I didn’t know pink had a flavor!,Cousin: Pink lemonade taste like pink.  Me: I ain’t know pink had a flavor!
#FieldMob: People are not always going to be there. That’s why you have to learn how to handle your problems on your own. #2013,#FieldMob: Folks ain’t always gon’ be there. That’s why you gotta learn how to handle yo’ problems by yo’self. #2013
"Thank you and stay blessed and keep being genuine, as that is the only way for me. Stay happy, stay loved. K.D.R.","Appreciate you, stay blessed and keep it real, ‘cause that’s the only way I know. Stay happy, stay loved. K.D.R."
"You are always welcome. Stay blessed and keep it real. Also, have a smooth weekend. K.D.R.",You always welcome. Stay blessed an’ keep it real. And have a smooth weekend too. K.D.R.
"Some guys are interested in you just because they want to have sex with you, not because you’re attractive… If all he talks about is sex, then take the hint, girl. Lol.","Some dudes only tryna mess with you ‘cause they wanna smash, not ‘cause you fine… If all he ever talk about is sex, sis, catch the hint. Lol."
"Bro asked, ""What's your favorite curse word?"" He replied: ""WTF, I don't fucking know, oh fuck, skip to the next fucking question, huhhhh, goddamn, fuck me!""","Bruh asked, ""What’s yo favorite cuss word?"" He was like: ""Mane, I’on even fuckin’ know, oh fuck, skip to the next fuckin’ question, ughhh, goddamn, fuck outta here!"""
"I'm about to mess with JoJo just because I'm bored, lol... I'm probably going to get yelled at.","I’m finna mess with JoJo just ‘cause I’m bored, lol… I’ma probably get yelled at."
"That guy is trying to joke with me to get close to me again... I don't acknowledge him at all, honestly.","That dude tryna crack jokes just to get close to me again... I don't even pay him no mind, fr."
My son's name is going to be Ja'Kobe because it's a combination of my name and my favorite player's name ever ().,My son name gon’ be Ja’Kobe ‘cause it’s a mix of my name and my favorite player ever ().
"She should know what makes me mad... Dude said he wants my crush. You’re a fool to think we’re staying together if you say things like that, lol.","She should know what get me mad... Dude talkin’ bout he want my crush. You crazy if you think we still gon’ be together sayin’ stuff like that, lol."
"If that watch didn’t cost $100,000, then you wasted your time, and if you think you can handle me, you’re out of your mind. Let’s go!","If that watch ain’t cost a hunnid racks, you wasted your time. And if you think you can handle me, you out yo mind. Let’s get it!"
"I’d rather get your girl excited; I don’t like to go on dates... And I’ll put this in your cup, if you don’t like the taste.",I’d rather get yo girl hyped; I don’t even like goin’ on dates... And I’ma put this in yo cup if you ain’t feelin’ the taste.
"I’m a real gangster, I keep more than one clip. I’m a real player, I keep more than one woman.","I’m a real gangsta, I keep more than one clip. I’m a real playa, I keep more than one woman."
""": I wonder what Qwon is doing, hahaha! Man, just relaxing... Beating these guys as usual. What's up, nephew?""",""": I wonder what Qwon up to, lol! Man, just chillin... Beatin these dudes like always. Wassup, nephew?"""
""" lol never mind bro, it’s a joke. You were supposed to say ‘Who is Phillis Brown?’ then I would have said ‘Feel this brown dick’ lol *pause* no homo.""","lol nvm bruh, it’s a joke. You was s’posed to say ‘Who Phyllis Brown?’ then I woulda said ‘Feel this brown dick’ lol *pause* no homo."
People would be walking around in FUBU and Phat Farm if it weren’t for boosters.,Folk would be walkin’ ‘round in FUBU and Phat Farm if it wasn’t for boosters.
"I might go to Brown Deer so she can come see me... Can't wait until afterwards though, no lie.","I might slide out to Brown Deer so she can come see me... Can't wait til after tho, no cap."
"Just last week you were so in love, but now you don’t recognize someone’s number when they text you? Lol, yeah, alright.","Just last week you was all in love, now you actin like you don’t even know they number when they text you? Lol, aight."
"Jade never means what she says, but I'm really done for real. I'm not going for that ""I want you back"" stuff anymore... Well, I'll try not to, haha.","Jade never mean what she say, but I’m really done fr. I ain’t goin’ for that “I want you back” mess no more… Well, I’ma try not to, lol."
"I love attractive women, that’s my problem! And yes, I like to have sex, that’s my problem.","I love fine women, that’s my problem! And yeah, I like havin’ sex, that’s my problem."
This girl just posted a status on Facebook saying her boyfriend said people don’t want to see him with her...,This girl just put up a status on Facebook talkin’ ‘bout her man said folks don’t wanna see him wit’ her...
"So when she asked him why he said that, he replied because people keep telling him she isn’t all that and she looks old...","So when she asked him why he said that, he was like, ’cause folks keep tellin’ him she ain’t all that and she look old..."
"Damn, you all should have contacted me earlier. Nell said you all were going out.","Damn, y’all shoulda hit me up earlier. Nell said y’all was goin’ out."
": If you are absent during my struggle, don't expect to be present during my success. So true!",": If you ain't around when I'm strugglin', don't be tryna come 'round when I'm winnin'. For real!"
""" that's awesome! I'll definitely come over and do it with you, haha. Text me when you get it—I'll direct message you my number.""","that’s dope! I’ma for sure come thru and do it wit you, lol. Hit me up when you get it—I’ma DM you my number."
NCAAB - Texas A&M guard Elston Turner scores 40 points in an 83-71 win at Kentucky; this is John Calipari’s first SEC home loss.  loss,NCAAB - Texas A&M guard Elston Turner dropped 40 in a 83-71 win at Kentucky; this John Calipari’s first SEC home L.  loss
"Alone Shay, no friends, nothing at all. You all really hurt me with that one, but alright!","Alone Shay, ain’t got no friends, nothin’ at all. Y’all really did me dirty wit’ that one, but aight!"
And she had better behave because I am not afraid of her; they will lock her up.,And she betta act right ’cause I ain’t scared of her; they gon’ lock her up.
"It’s going to be great—she and my southern cousin think he’s going to see his girlfriend from Florida, lol. Pray for him.","It’s gon’ be good—she and my cousin from down South think he finna see his girl from Florida, lol. Pray for him."
I love the direction my life is heading. I’m keeping an eye on everyone. Everyone has a fair chance.,I love where my life goin’. I’m watchin’ everybody. Everybody got a fair shot.
because it seemed like it took longer. But that Virgo did though in the end.,cuz it felt like it took longer. But that Virgo came through in the end though.
"My brother said to pray for my exes. The sad one said she’s going to start dealing with a new caliber of men—aka, gold diggers. Lol, it must be a Southern thing.","My brother told me to pray for my exes. The sad one talkin’ ‘bout she gon’ start messin’ with a new type of dude—basically, some gold diggers. Lol, must be a Southern thang."
"People ask for so many things, but sometimes you’re just not ready for them yet.","Folks be askin’ for all kinda things, but sometimes you just ain’t ready for ’em yet."
I'm up late at night about to get up and get my hair ready for today.,I’m up late at night ’bout to get up and do my hair for today.
"your vagina smells so bad that when you walk past a guy, he’s like, “Damn, what’s that smell?”","yo coochie smell so bad, when you walk by a dude he be like, “Damn, what’s that smell?”"
"Wale is NOT dead! Stop with the hate—it's just music! If the only way you can succeed is by wishing death on your competition, then you should reconsider your own actions.","Wale ain’t dead! Y’all need to chill wit all that hate—it’s just music! If the only way you can win is by wishin’ death on ya competition, you really need to check yoself."
"Go ahead, big dog! Lol (Grabs camera) I’m ready to see this! Lmao, then Trav burst out laughing","Go ‘head, big dawg! Lol (Grab the camera) I’m ready to see this! Lmao, then Trav just bust out laughin"
"God really needs to reach some people so they can change, because being the way you are is just shaking my head!","God really needa reach some folks so they can change, ’cause the way you actin’ just got me shakin’ my head!"
"Well, I'm sure if you are arguing with someone and a girl joins the conversation, you're going to say something that's going to offend.","Well, I mean, if you goin’ back and forth wit somebody and a girl jump in, you prolly gon’ say somethin’ that’s gon’ offend."
"lol girl, I haven’t tweeted anything about you. I told them to stop speaking for you. Subtweeting isn’t for me!","lol girl, I ain’t said nothin’ bout you on here. I told them to stop speakin’ for you. Subtweetin’ just ain’t me!"
"She said, ""Jojo, eat me."" I said, ""No, what is wrong with you? You’re a promiscuous woman!""","She was like, ""Jojo, eat me."" I was like, ""Nah, what’s wrong wit you? You out here actin’ fast!"""
Their mother needs to hurry up and get here because I am really sick of these little assholes!,Their mama needa hurry up and get here cuz I’m real tired of these lil badass kids!
Sitting and talking to little kids while pretending to care makes them feel so special...,"Be sittin’ there choppin’ it up wit’ lil kids, actin’ like I care, got them feelin’ all special..."
"People in the streets are as fake as fuck. If you don’t like me, set me up. People are saying hip hop is dead—give it CPR and wake up... #Gotti","Folks in these streets fake as fuck. If you don’t fuck wit me, set me up then. Folks talkin’ bout hip hop dead—give it some CPR and wake up... #Gotti"
"What the heck, I'm trying to sleep for like 30 minutes, but the closer I get, the less I want to sleep. -.-","Man, what the hell, I been tryna sleep for like 30 minutes, but the closer I get, the less I even wanna sleep. -.‑"
"I like a long-haired, curvy light-skinned woman... open up her legs... lol ... I'm singing this so passionately right now.","I like a long-haired, thick light-skinned woman... open up her legs... lol ... I’m singin’ this so hard right now."
"Whew, I just got home... I'm so glad there was an open bar. Hennessy and Coke all night, baby.","Whew, I just made it home... Man, I’m so glad they had an open bar. Henny and Coke all night, baby."
This day is going by so slowly... Is it 4:30 yet? Because I'm ready to be at home with a nice cocktail in my hand.,This day movin’ so slow... It ain’t 4:30 yet? ‘Cause I’m ready to be at the crib with a nice drink in my hand.
#ThatEpicMoment when you lift her legs up towards her head while performing oral sex on her clitoris,#ThatEpicMoment when you lift her legs up by her head while you eat her out
"You cannot be good enough for everyone, but you will always be the best for the one who deserves you.","You can’t be good enough for everybody, but you always gon’ be the best for the one who really deserve you."
"Pride attracts the girl. Courage approaches the girl. Wisdom wins the girl. Strength puts up with the girl, but loyalty keeps the girl.","Pride get the girl’s attention. Courage step to her. Wisdom make her yours. Strength deal wit’ her, but loyalty the one that keep her."
High-quality sex will have men driving 95 mph in a 35 mph zone... With a suspended license... A broken headlight... And marijuana in the car.,That good-good gon’ have dudes doin’ 95 in a 35… License suspended… Headlight broke… Weed in the whip.
"LOL, I’m sorry, Ashley. Girl, I didn’t know if you wanted to go or not.","LOL, my bad, Ashley. Girl, I ain’t even know if you wanted to go or not."
... Look at who you were talking about looking like a squirrel... Shenice... But who is Shenice’s friend?!,... Look at who you was talkin’ bout lookin’ like a squirrel... Shenice... But who Shenice friend be?!
... I appreciate you a lot. I'm okay... I'm not the best! But thanks.,... I appreciate you fr. I’m aight... I ain’t doin’ the best! But thanks tho.
So nobody called me last night to let me know they were okay! Assholes.,So ain’t nobody hit me up last night to let me know they was good! Y’all triflin.
"Oh, okay, bring them to the neighborhood on Day 3 so I can teach them the ways of the neighborhood, lol.","Aight, bet, bring ‘em to the hood on Day 3 so I can show ‘em how we do ‘round here, lol."
"Kobe is just a scorer; LeBron does everything! He makes everyone around him better, and he’s been dominating since his rookie year.","Kobe just be a scorer; LeBron do it all! He make everybody around him better, and he been runnin’ the game since his rookie year."
MiMi claims she doesn’t have sex! She’s probably secretly having it though.,MiMi be sayin’ she don’t be havin’ sex! But she prolly sneakin’ around doin’ it tho.
"If she is performing oral sex on me, you can bet that my friends will receive the same treatment as well. We are not committed to these women.","If she givin’ me head, best believe my boys gettin’ it too. We ain’t cuffed to these women."
"hahaha you’re messing around, man, you were supposed to clock out just once! Have you all played T-Mac yet? Haha","lol you playin’, bruh, you was only s’posed to clock out once! Y’all done played T-Mac yet? Haha"
"You know I am, bro. I have to show up if my little brother is going to be there.","You already know I am, bro. Gotta pull up if my lil bro gon’ be there."
"I could be petty and tag those guys because they were definitely laughing when the Broncos lost, but I’m not even going to do it.","I could be petty and tag them dudes ’cause they was definitely laughin’ when the Broncos lost, but I ain’t even gon’ do it."
"Haha, just because that stuff turns you on and makes me feel sick doesn’t mean I’m a coward, it just means you’re unusual.","Lol, just cuz that stuff get you goin and make me feel sick don’t mean I’m scary, it just mean you different."
That’s all lies! She dumped me for Kyle but I didn’t say anything about that.,That’s all lies! She left me for Kyle but I ain’t even say nothin’ bout that.
"If we book you, we need you and a friend just for us! Lol","If we book you, we gon’ need you and ya homegirl just for us! Lol"
"man, on my mama! Those are the back-to-back-to-back Division 1 teams we had to play.","mane, on my mama! Them the back-to-back-to-back Division 1 teams we had to play."
"Shout out to my big brother and a player I have looked up to since my high school days, . Congratulations and keep working hard, P.","Big shoutout to my big bro and a real one I been lookin’ up to since back in high school, . Congrats and keep grindin’, P."
KD just needs to slap Westbrook once to let him know that it’s his team.,KD just needa slap Westbrook one time so he know it’s his team.
Kaepernick can't trademark what my New Orleans Saints defensive end Will Smith has been doing...,Kaepernick can’t trademark what my New Orleans Saints defensive end Will Smith been doin’...
"What's up, man? I'm from Osceola, Arkansas. I was just wondering if your clothing line makes size 3X or larger. #VampLife","Wassup, man? I’m from Osceola, Arkansas. I was just tryna see if yo clothing line got 3X or bigger. #VampLife"
"Haha, my mom told me not to, but I'm about to really go off on this guy.","Lol, my mama told me not to, but I’m really ’bout to go off on this dude."
"Michael Turner is overweight and needs to lose 10-15 pounds, or we need to replace him. But I love him.","Michael Turner too heavy, he gotta drop like 10-15 pounds, or we gon’ have to find somebody else. But I still love him tho."
Avoiding him isn’t even a thing anymore! lol. He finds us everywhere we go -.–,Ain’t even no point tryna avoid him no more! lol. He find us everywhere we go -.–
I’m just going to watch movies with my best friend  for the rest of the night!,I’m just finna watch movies wit my bestie  for the rest of the night!
"This woman is crying, meanwhile she’s still sitting on the ground and I’m still laughing at her adult self.","This woman over here cryin, but she still sittin on the ground and I’m still laughin at her grown self."
"Lol, that guy fell so damn hard on that ice! I thought the way he fell only happened in movies. That shit was so funny!","Lol, bruh fell so damn hard on that ice! I swear the way he hit the ground, I thought that only happen in movies. That shit had me weak!"
"lol okay, girl! Oops, I need more glasses because I'm not sure you're a little girl.","lol aight, girl! Oop, I need some more glasses cuz I ain't even sure you a lil girl."
""" he didn’t text me back, and I told him I almost died today.""",""" he ain’t text me back, and I told him I damn near died today."""
"He waits for us to accept the gift of salvation and eternal life through His Son, Jesus Christ.","He waitin’ on us to accept the gift of salvation and eternal life through His Son, Jesus Christ."
Oh my goodness! The candy red suited you perfectly! And now it’s all gone! Lol,Lawd! That candy red was lookin’ too good on you! And now it’s all gone! Lol
"I have been in a serious relationship with my husband for four years—and I’m not trying to mess it up. Lol, but it’s hard to resist that lifestyle.","I been in a real serious relationship wit my husband for four years—and I ain’t tryna mess that up. Lol, but it’s hard not to get caught up in that lifestyle."
God has truly been blessing me. He must be up to something. I think I should prepare myself.,God really been blessin’ me. He must be up to somethin’. I think I need to get myself ready.
"If it were up to me, the Ten Commandments would have had eleven. Thou shalt not marry promiscuous women. Period.","If it was up to me, the Ten Commandments woulda had eleven. Don’t marry no woman out here bein’ fast. Period."
I want you all to make a song dedicated to sex. Nothing else. That would be amazing.,I want y’all to make a song just about sex. Nothin’ else. That’d be fire.
""" Girl, make yourself some tea and add lemon juice and honey to it. It's very good for you. Trust me!""","Girl, go fix you some tea and put some lemon juice and honey in it. That stuff real good for you, trust me!"
.....It's all HIS fault. He's the reason I'm the way I am. *Points finger*,.....It’s all HIS fault. He the reason I’m like this. *Points finger*
My mom just made me a small chicken sandwich :) and it is really perfect!,My mama just made me a lil chicken sandwich :) and it’s real perfect!
"needs to stop getting me excited while I'm at work! Lol, my boss is about to be yelling #RillaGang in a minute!","needa stop gettin’ me hype while I’m at work! Lol, my boss ‘bout to be hollerin’ #RillaGang in a minute!"
"It’s not that I’m angry, but it’s the nonchalant attitude that I can’t deal with—like people really act as if they don’t have to care at all.","It ain’t even that I’m mad, it’s just that nonchalant attitude I can’t mess with—like folks really be actin’ like they ain’t gotta care at all."
I don’t handle public disputes well. I’m not just going to stay quiet and let that stuff go just because we’re in front of people.,I don’t do public drama too well. I ain’t just gon’ stay quiet and let that slide just ’cause we in front of folks.
"Someone really needs to make an hour-long instrumental for ""Jupiter Love."" I would have sex to that all night. #JustSaying","Somebody really needa make a hour-long instrumental for ""Jupiter Love."" I’d be fuckin to that all night, no lie. #JustSaying"
"People always ask who my best friend is, but I don't have just one because my #TagTeam loves are my best friends! I love all of you =)","Folks always ask who my best friend is, but I ain’t got just one ‘cause my #TagTeam loves is all my best friends! Love all y’all =)"
I do not know when the last time was that I went where you are going now.,I don’t even know when the last time was I been where you goin’ now.
"Come on, we do not have all day. This time, it's gunplay.","C’mon now, we ain’t got all day. This time, it’s gunplay."
Kay Kay’s creepy baby mama—now she wants to come over to my aunt’s house. She’s going to be mad at 5:00 because I’ll be gone.,Kay Kay’s creepy baby mama—now she wanna come over to my auntie house. She gon’ be mad at 5 ‘cause I’ma be gone.
I just talked to my baby’s father—he wants me to lock Tymoni’s hair now that they’re back home. Ty’leah is really bad.,I just talked to my baby daddy—he want me to lock Tymoni’s hair now that they back home. Ty’leah real bad.
I’m not trying to date anyone in 2014! I want to be married by then! There’s nothing out here in these clubs or on the streets! #Seriously,I ain’t tryna date nobody in 2014! I wanna be married by then! Ain’t nothin’ out here in these clubs or out in these streets! #Seriously
I want to lie with my baby... naked... while smoking a blunt... listening to some blues... sipping on gin (because it makes you sin)... *sighs*,I just wanna lay up wit my baby... naked... smokin a blunt... bumpin some blues... sippin on gin (cuz it make you sin)... *sighs*
: My break didn’t go at all as I had planned. I did the same stuff the entire break—you’re not the only one.,: My break ain’t go how I planned at all. I did the same stuff the whole break—you not the only one.
Still loving the Stallionaires (in my Chance & Real voice). I can't wait to see you two do something together again.,Still lovin’ the Stallionaires (in my Chance & Real voice). I can’t wait to see y’all do somethin’ together again.
"We definitely need you to head that way, please and thank you. ROTFKML (GameSuperStar) TeamPoochHall Pow","We for real need you to head that way, please and thanks. ROTFKML (GameSuperStar) TeamPoochHall Pow"
"Brett, keep telling me if I perform oral sex on you, don’t tell the group.","Brett, you keep sayin’ if I go down on you, don’t tell the crew."
"After I get off the phone and my baby calls, I'm going to bed!","Soon as I get off the phone and my baby call, I’m goin’ to bed!"
I might be cool with her; she did used to be like a little sister at the beginning of the year.,I might be cool wit’ her; she used to be like a lil’ sis at the start of the year.
"You don’t have to say much; from the look in your eyes, I can tell you really want me.","You ain’t gotta say much; I can see it in your eyes, you really want me."
"lol I hear you. What’s going to be your excuse at 12, because you’re going to have a different one. haha","lol I feel you. What you gon’ say at 12 tho, cuz I know you gon’ have a whole new excuse. haha"
"Shout out to . Pretty and focused on making money. Let these women keep hating, lol. Period.","Shoutout to . She fine and stay on her grind. Let these females keep hatin, lol. Periodt."
"You’re a Jefferson guy, do you think I care if you don’t mess with me? Haha, just leave.","You a Jefferson dude, you really think I care if you don’t mess wit me? Haha, just go on."
"He told me he doesn’t like to wait—he wasn’t lying, because he moved on in a day, goddammit.","He told me he don’t like to wait—he wasn’t lyin’, ’cause he moved on in a day, goddamn."
"I'm in a good mood today, so I don't have time to argue with anyone.","I’m in a good mood today, so I ain’t got time to argue wit nobody."
"Women say that age is just a number, but you can't tell that to the police.","Women be sayin’ age just a number, but try tellin’ that to the police."
"As you said, you’re letting things go in your life, so I guess I’m done too.","Like you said, you lettin’ stuff go in your life, so I guess I’m done too."
""" You mind your own business, I do go to school, and even if I didn’t, I still know how to spell.""","You betta mind yo own business, I do go to school, and even if I ain’t, I still know how to spell."
"Before I argue or fight over a man, I will just replace him. Haha. Too much class.","Before I go back ‘n forth or fight over a dude, I’ma just get me a new one. Haha. Way too much class for that."
"-_- Happy New Year to you. By the way, this is her best friend :) Haha, but I’ll tell her you said hi.","-_- Happy New Year to you. Oh, and this her best friend :) Lol, but I’ma let her know you said hey."
"Rest in peace to all my exes. The funeral will be held at Never Again Christian Church, on the corner of I’m Done Road and Forget You Avenue.","Rest in peace to all my exes. The funeral gon’ be at Never Again Christian Church, right on the corner of I’m Done Rd and Forget You Ave."
"I didn't forget about you, friend. I've got you, but you weren't anywhere around!","I ain’t forget bout you, fam. I got you, but you wasn’t nowhere around!"
"I am never stressing over another man unless I’m married. Other than that, you get no sympathy.","I ain’t never stressin’ over no man unless I’m married. Other than that, you ain’t gettin’ no sympathy."
"I already told you that, remember? And you were like, ""Which Uncle Dennis?""","I done already told you that, remember? And you was like, ""Which Uncle Dennis?"""
"People are always trying to say that I think I'm all that... Uh, no, you're just a hater. Don't hate on the next woman—it gets you nowhere. #Fact","Folks always tryna say I think I’m all that… Uh, nah, you just hatin’. Don’t be hatin’ on the next woman—it ain’t gettin’ you nowhere. #Fact"
"True, but man. I don't know, you know how boys are, laughing but serious. I'm really mad as hell, I feel like punching a wall.","True, but fr tho. Ion even know, you know how dudes be, laughin but deadass. I’m mad as hell fr, feel like punchin a wall."
"No, I told you that he got upset and everything, but I’m not changing my mind this time.","Nah, I told you he got mad and all that, but I ain’t changin’ my mind this time."
"People need to associate with me—why are they being fake? When time passes, people are going to be like, ""Where have you been?"" You’re so fake. Me: Forget you. -__-","Folks needa mess wit me—why they actin’ fake? Watch, later on they gon’ be like, ""Where you been at?"" Y’all so fake. Me: Man, forget y’all. -__-"
I really hate this woman (Dr. Robinson). She’s such a liar. I should send an adult to confront her.,I really can’t stand this woman (Dr. Robinson). She stay lyin’. I oughta send a grown person to go check her.
"For the summer, Avontae, Ayden, and I are going to OKC to visit my favorite.","For the summer, me, Avontae, and Ayden gon’ head to OKC to see my favorite."
"About to have a great time with my headache, my significant other, my everything, and my friend.","Boutta have a good time wit my headache, my boo, my everything, an my friend."
"I still have a lot of girls in my timeline, man. It's 2013, grow up, kid.","I still got hella girls on my timeline, bruh. It’s 2013, grow up, lil dude."
TNW: The best-selling iPad app on the App Store was created with Adobe Flash.,TNW: The top-sellin’ iPad app on the App Store was made wit’ Adobe Flash.
"Hey girl! It's been a while since I talked to you. Just wanted to say hi, lol!","Hey girl! Been a minute since I talked to you. Just wanted to say hey, lol!"
I haven't been on Twitter in so long... I feel like I was in jail and just got out.,I ain't been on Twitter in so long... feel like I just got outta jail.
"""Want to be gay? Okay! Can't ____ _____ right though.""","""Wanna be gay? Aight! Can’t ____ _____ right tho."""
Grandmother just died this morning. :( What am I going to do now? I have nobody.,Grandma just passed this mornin’. :( What I’ma do now? I ain’t got nobody.
"Fucking asshole, I swear, she doesn't care about anything but herself!","Fuckin’ ass, I swear, she don’t care ’bout nothin’ but herself!"
I just feel like who I’m with and my ex are completely over—she has already moved on.,I just feel like me and my ex really done for real—she already moved on.
"Do not mess with me, I promise you! Life will be difficult for you, you fool!","Don’t play wit’ me, I’m tellin’ you! Life gon’ be hard for you, fool!"
"HOLD the fuck on!! If you’re going to talk about me in your fucking tweets, please mention me. It’s not that fucking hard! You old dog-faced bitch! Come at me!","HOLD the fuck on!! If you gon’ talk bout me in yo fuckin tweets, at least mention me. It ain’t that fuckin hard! You old dog-faced bitch! Come at me!"
Trying to be friends with someone who doesn’t want you to be with me? LMAO. Get the fuck out!,Tryna be friends wit somebody who don’t even want you rockin’ wit me? LMAO. Get tf on!
